id,assessmentPdiId,competenciaId,peso,notaCorte,microInicio,microTermino,createdAt,updatedAt,nivelAtual,metaFinal,justificativa,metaCiclo1,metaCiclo2
62444,60393,30016,obrigatoria,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:27,,,,,
62446,60393,30035,obrigatoria,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:28,,,,,
62448,60393,30036,opcional,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:19,2026-03-05 20:45:19,,,,,
62450,60393,30021,opcional,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:27,,,,,
62452,60393,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:19,2026-03-07 00:16:27,,,,,
62454,60393,30028,obrigatoria,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:27,,,,,
62456,60394,30034,obrigatoria,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62457,60394,30013,opcional,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62458,60394,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62459,60394,30016,obrigatoria,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62460,60394,30035,obrigatoria,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62461,60394,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:20,2026-03-05 20:45:20,,,,,
62462,60394,30021,obrigatoria,8.00,2025-08-08 00:00:00,2025-09-12 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62463,60394,30022,opcional,8.00,2025-04-20 00:00:00,2025-05-25 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62464,60394,30028,obrigatoria,8.00,2025-06-29 00:00:00,2025-08-03 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62465,60395,30034,opcional,8.00,2026-01-12 00:00:00,2026-02-16 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62466,60395,30013,obrigatoria,8.00,2025-05-20 00:00:00,2025-06-24 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62467,60395,30015,obrigatoria,8.00,2025-10-27 00:00:00,2025-12-01 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62468,60395,30016,obrigatoria,8.00,2025-09-17 00:00:00,2025-10-22 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:28,,,,,
62469,60395,30035,obrigatoria,8.00,2026-01-30 00:00:00,2026-03-06 00:00:00,2026-03-05 20:45:20,2026-03-07 00:16:29,,,,,
62470,60395,30036,obrigatoria,8.00,2026-02-24 00:00:00,2026-03-31 00:00:00,2026-03-05 20:45:20,2026-03-05 20:45:20,,,,,
